LTE NE NAME,ETHPORT CN,ETHPORT SRN,ETHPORT SN,ETHPORT SBT,ETHPORT PN,ETHPORT PA,ETHPORT MTU,ETHPORT SPEED,ETHPORT DUPLEX,ETHPORT ARPPROXY,ETHPORT FC,ETHPORT FERAT,ETHPORT FERDT,ETHPORT RXBCPKTALMOCRTHD,ETHPORT RXBCPKTALMCLRTHD,ETHPORT USERLABEL,ETHPORT FIBERSPEEDMATCH,ETHPORT AUTOCFGFLAG
LDELE47074_San Elhagar,0,0,7,BASE_BOARD,2,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE47074_San Elhagar,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE44836,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELW34958,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIE20860,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELW24536,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16231,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELW14489,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34318,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16203,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16212,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16247,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE14044,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELW24963_Basantawy,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LCAIN10592,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS16224,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24260,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE18099,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34315,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM24129,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34286,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34310,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LSINS27450,0,0,7,BASE_BOARD,1,FIBER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34293,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELE34293,0,0,7,BASE_BOARD,0,COPPER,1500,AUTO,AUTO,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
LDELM27154,0,0,7,BASE_BOARD,1,FIBER,1500,1000M,FULL,DISABLE,OPEN,10,8,320,288,,DISABLE,MANUAL_CREATED
